Input,Outfit Combination
"Female, 22, Pear, Medium, 55kg, Casual, Western, Fair","A pair of high-waisted jeans with a cropped top and a denim jacket, complemented by white sneakers. This outfit highlights the waist, flattering the pear-shaped figure, while the denim jacket adds a layer of casual sophistication. White sneakers provide comfort for a day out, making it perfect for a young and trendy look."
"Male, 28, Athletic, Tall, 78kg, Business Casual, Western, Olive	","Slim-fit chinos paired with a button-down shirt and a tailored blazer, finished with brown loafers. This combination accentuates an athletic build, providing a sleek and professional appearance suitable for business casual settings. The tailored blazer adds structure, while the loafers maintain a smart-casual vibe, ideal for office or networking events."
"Female, 30, Hourglass, Tall, 65kg, Formal, Western, Dark","A wrap dress in a solid color with block heels and a statement necklace. The wrap dress elegantly highlights the hourglass figure, offering a sophisticated look for formal occasions. Block heels add height without sacrificing comfort, and the statement necklace adds a touch of glamour, making this ensemble perfect for an elegant evening event."
"Male, 35, Rectangle, Medium, 82kg, Party, Western, Tan","Tailored trousers with a printed shirt and a leather jacket, complemented by stylish brogues. This outfit adds dimension to a rectangle body shape, with the printed shirt drawing attention and the leather jacket adding a cool, edgy layer. Brogues provide a fashionable touch, perfect for making a stylish entrance at any party."
"Female, 40, Apple, Short, 70kg, Evening, Western, Medium","An A-line dress with a cinching belt, paired with strappy sandals and hoop earrings. The A-line silhouette skims over the midsection, flattering an apple-shaped figure, while the belt defines the waist. Strappy sandals elongate the legs, and hoop earrings add a trendy accessory, ideal for an elegant evening out."
"Male, 25, Inverted Triangle, Medium, 75kg, Workout, Activewear, Fair","Compression shorts with a breathable tank top and lightweight running shoes. This activewear is designed to enhance performance, allowing freedom of movement and moisture-wicking properties. The outfit emphasizes the broad shoulders typical of an inverted triangle shape, making it perfect for both gym workouts and outdoor activities."
"Female, 19, Petite, Short, 50kg, College, Western, Light","A floral print skirt with a fitted t-shirt and ballet flats. This outfit creates the illusion of height, flattering a petite frame with a playful yet sophisticated look. The floral skirt adds a pop of color, and the fitted t-shirt keeps the silhouette streamlined. Ballet flats offer comfort and style for a busy day on campus."
"Male, 32, Oval, Tall, 90kg, Casual, Western, Dark","Relaxed-fit jeans paired with a polo shirt and casual sneakers. This outfit provides comfort while balancing proportions, ideal for an oval body shape. The relaxed-fit jeans offer a comfortable fit, and the polo shirt adds a touch of refinement. Casual sneakers make it a great choice for leisurely activities."
"Female, 27, Hourglass, Medium, 60kg, Wedding, Traditional, Olive","A beautifully embroidered lehenga choli with matching jewelry. This traditional ensemble highlights the hourglass figure, offering elegance with intricate embroidery. The lehenga's voluminous skirt balances proportions, while the choli enhances the waistline. Matching jewelry completes the regal look, perfect for attending a wedding."
"Male, 45, Trapezoid, Tall, 88kg, Office, Formal, Fair","A dark suit with a crisp white shirt and oxford shoes. This classic formal attire suits a trapezoid body shape, offering a timeless and professional look. The dark suit creates a sleek silhouette, while the white shirt provides a sharp contrast. Oxford shoes add an element of sophistication, ideal for important meetings or office settings."
"Female, 23, Rectangle, Tall, 58kg, Beach, Swimwear, Medium","A high-waisted bikini with a matching cover-up and a wide-brim hat. This swimwear flatters a rectangle body shape by defining the waist, while the cover-up adds style and sun protection. The wide-brim hat not only enhances the beach-ready look but also provides shade, perfect for a day at the seaside."
"Male, 50, Athletic, Medium, 85kg, Golf, Activewear, Tan","A golf polo shirt with khaki shorts and spikeless golf shoes. This outfit combines comfort and style, designed for athletic performance on the golf course. The polo shirt fits well on an athletic build, while the khaki shorts offer ease of movement. Spikeless golf shoes provide grip and comfort, suitable for a day of golfing."
"Female, 37, Apple, Medium, 68kg, Festival, Bohemian, Dark","A maxi dress with fringe details, paired with ankle boots and a floppy hat. The maxi dress skims over curves, flattering an apple body shape, while the fringe adds a bohemian touch. Ankle boots provide a rugged edge, and the floppy hat offers a stylish accessory, making this outfit perfect for music festivals or outdoor events."
"Male, 26, Pear, Short, 72kg, Night Out, Western, Light","Skinny jeans with a graphic tee and a bomber jacket, complemented by Chelsea boots. This outfit adds definition to a pear-shaped figure, with the bomber jacket providing a broad shoulder appearance. Skinny jeans and Chelsea boots create a streamlined look, ideal for a night out with friends."
"Female, 29, Inverted Triangle, Tall, 62kg, Concert, Streetwear, Fair","Ripped jeans with an oversized hoodie and high-top sneakers, paired with a crossbody bag. This streetwear outfit balances the broad shoulders of an inverted triangle shape with an oversized hoodie. Ripped jeans add a casual edge, while high-top sneakers ensure comfort and style. A crossbody bag completes the look for a concert outing."
"Female, 21, Petite, Short, 48kg, Casual, Western, Olive","A pair of cropped wide-leg pants with a fitted tank top and platform sandals. This outfit enhances a petite frame by elongating the legs with platform sandals, while the cropped pants add a modern touch. The fitted tank top balances the silhouette, making it ideal for a casual outing with friends."
